Ticks,Anabolic,Catabolic,Muscle Mass
0,50.0,52.0,1643.3292636434198
1,81.21393498286626,75.27799023162152,1645.1019737487252
2,75.69636818209804,69.21838932833218,1647.2041383864416
3,70.2992680031469,63.30669727745219,1649.6796482195043
4,65.02943580532113,57.55288649581596,1652.5812659771361
5,59.894422884814986,51.968273863141405,1655.9731579485822
6,89.78350053317267,74.34067872462553,1660.6023118068256
7,84.15157936463636,68.35289896556039,1665.7194863744
8,78.63816603912377,62.5216668225804,1670.8443296478924
9,73.2495531409265,56.85802437006257,1675.8371869801329
10,67.99266709141494,51.37462419959832,1680.686327564337
11,99.10012786936464,74.85177308732631,1686.0226917292684
12,93.35373293299068,68.91040966526799,1691.2414498538783
13,87.720760584295,63.13069875392701,1696.3329330217118
14,82.2071261818867,57.52490168421795,1701.2856307461336
15,76.8194520554283,52.10729115667545,1706.0857456106614
16,107.79850416059638,75.59175365059394,1711.401704202973
17,101.95673909340996,69.6910748524524,1716.5963244536836
18,96.22395875580844,63.956541435305,1721.6588982184655
19,90.60576444693676,58.40153343540545,1726.5765142419305
20,85.1084329451915,53.04173146428455,1731.3334883494576
21,117.3641805472505,77.63304062699352,1736.6492416614763
22,111.42365091390701,71.74376611477962,1741.8416569950175
23,105.58765936813464,66.02197745431305,1746.900801559534
24,99.86144228654916,60.48033158065183,1751.8145823348893
25,94.2507970246798,55.134271961717964,1756.5669953652705
26,125.1794841721267,78.74037098872634,1761.872815788293
27,119.1702887293892,72.87777836529646,1767.0520816466649
28,113.26251494559057,67.18705171476195,1772.0923245605022
29,107.4612407447139,61.68300511651054,1776.9786839287399
30,101.77216336816225,56.38232654225532,1781.694668553967
31,134.63494250854185,81.58027299170989,1787.02792597357
32,128.53709344304266,75.69281541091475,1792.235754708101
33,122.53657663269597,69.975545913004,1797.3058252255819
34,116.63813626061986,64.44299030647807,1802.2239356157158
35,110.84709205089516,59.11112792840574,1806.9747859339107
36,140.9072600882982,82.12676159985585,1812.2954238869004
37,134.7646061878532,76.2670739296618,1817.4875676502336
38,128.71731643905497,70.58007925814175,1822.5389243364266
39,122.7700700810694,65.07919384554411,1827.4380597457598
40,116.92812729589085,59.777222297275905,1832.1730979634604
41,149.3723715297879,84.73583509579845,1837.507730785379
42,143.1684445055779,78.86369285682916,1842.7150101543816
43,137.05817743948964,73.16013538939133,1847.788032515853
44,131.0462964536103,67.6345998799394,1852.7156185440294
45,125.13794207972687,62.30011695265656,1857.484228287202
46,157.7010758101482,87.36043438595938,1862.8630488305284
47,151.4370746898345,81.44227285226567,1868.1200304330266
48,145.26211376635365,75.68780866069467,1873.2446907206813
49,139.1798473207037,70.1085409186583,1878.2278345820505
50,133.1948321213605,64.71575145226555,1883.0580128624492
51,166.73202955598325,90.56541295778683,1888.4911228581575
52,160.38414474140956,84.58710449445232,1893.80857423103
53,154.12273971876257,78.76612804757707,1898.9998641456702
54,147.9517184718035,73.11510462770767,1904.0526207672124
55,141.87516864137694,67.64843257404434,1908.9523801476419
56,175.13509249368255,93.28736807182776,1914.4252053574523
57,168.72074134035674,87.26880476727227,1919.7825801229465
58,162.38948008139798,81.40581370816265,1925.0155190204293
59,156.14503737118267,75.70924768164984,1930.1139313892172
60,149.9915761942034,70.19110340513356,1935.0666096200678
61,182.41364606130142,95.1843547221737,1940.5545335266745
62,175.95653366536285,89.1537694137069,1945.9306620242603
63,169.58104287545697,83.27442096335687,1951.1874903151536
64,163.29053823102737,77.55621472252841,1956.3143791940286
65,157.08815872919112,72.01195973546902,1961.2981540122198
66,191.46915210094303,98.56677262087513,1966.8440664672705
67,184.94180339164802,92.47509313443628,1972.279071726191
68,178.49245991427918,86.53368078713763,1977.593557611878
69,172.12446798634377,80.75333759775089,1982.7781221265882
70,165.8415566363893,75.14470397783442,1987.8232184235599
71,198.41326252055876,100.27946335314414,1993.3813769435824
72,191.8446339844523,94.18269182866682,1998.8297833285853
73,185.35165472105467,88.23498759821253,2004.158676735029
74,178.93740589923604,82.44785240566868,2009.356492153098
75,172.60531141434834,76.83413831418726,2014.4101986816343
76,206.6888685370405,103.18664074628573,2020.001590941485
77,200.06794408873785,97.05415009828019,2025.4875988421365
78,193.5202039786745,91.06484912886295,2030.8604589509052
79,187.04851418869933,85.22874324860832,2036.1101116835557
80,180.6560411694943,79.5578133913035,2041.2245566559357
81,216.63086737256714,107.40997443494466,2046.8730585467597
82,209.9501633453388,101.2148037180398,2052.4181042103446
83,203.34041304163188,95.16050484381174,2057.851242193901
84,196.80434274657827,89.25699339708471,2063.163447128005
85,190.3449488880962,83.51486430103377,2068.3445588368536
86,224.12875221289647,109.6121500203659,2074.0381599808566
87,217.39451138363302,103.36897338619532,2079.633667295088
88,210.72821925526927,97.2605321105814,2085.123605889073
89,204.13229061372124,91.29624775375657,2090.4991039115193
90,197.60937516822253,85.48707312059935,2095.7494616648796
91,232.5331059894516,112.51229483390671,2101.4631901038492
92,225.75686792402774,106.25227543237546,2107.07862552511
93,219.0469069976891,100.12645771913066,2112.588182597812
94,212.40553657528952,94.1438345956798,2117.983616823141
95,205.8352932243935,88.31407974271467,2123.2559570278977
96,241.2552492446657,115.73037845961925,2129.014332791467
97,234.4287625976605,109.42195289877503,2134.67807943759
98,227.66640652910218,103.24337402295615,2140.2400839517873
99,220.97033207124676,97.20342922891521,2145.6919813232403
100,214.3428891709269,91.31210326128952,2151.0240475211826
101,249.2775067140413,118.35521613875248,2156.798893635815
102,242.41746958614945,112.03547817374718,2162.4793327455354
103,235.62023851123314,105.84505934194468,2168.058136733479
104,228.88789049011098,99.79273407645688,2173.526914109482
105,222.22269403223964,93.88823790932791,2178.876473308793
106,257.9306956569483,121.55434494707468,2184.6805703077625
107,251.02978629765278,115.20561914796698,2190.3915947525115
108,244.19003929511993,108.98416470462932,2196.0025018851034
109,237.4134152078677,102.89843500500166,2201.5051226991545
110,230.70204907196418,96.95781795630273,2206.8902418568573
111,267.76769982752387,125.6941354630854,2212.7444504369532
112,260.81884751491145,119.28904804567934,2218.5083056803583
113,253.92961573901394,113.0077027400424,2224.174945145695
114,247.1019025291771,106.8582908317677,2229.7363753480513
115,240.3377768294474,100.84979517323477,2235.183874812843
116,275.3496342962837,127.95587424939767,2241.054565790228
117,268.3702423343596,121.53898924466506,2246.835782610871
118,261.4491162392355,115.24437092995753,2252.521003526891
119,254.58805324921852,109.07969008019359,2258.102979265919
120,247.78900694500086,103.05316788716203,2263.5741300727655
121,283.56922533313,130.77121653040433,2269.4798925538093
122,276.55100830193106,124.31869375089576,2275.299185560142
123,269.589343560076,117.98491255620259,2281.0259680319227
124,262.68589725335494,111.77723592461389,2286.6533060446523
125,255.8424728526279,105.7037926121268,2292.1735458186713
126,292.14741825014926,133.83441410750206,2298.118269610326
127,285.0890833703344,127.3406482733378,2303.979380184206
128,278.0857043520861,120.96210714577248,2309.75128400742
129,271.1388426011493,114.70580390536996,2315.4274604121265
130,264.2501835663191,108.57971425320356,2321.000247029636
131,300.3162331259989,136.5257454580061,2326.966963123084
132,293.2260596081662,130.01276018185573,2332.850824249797
133,286.1896381715679,123.61368899226605,2338.646261746369
134,279.2084712972262,117.33524413102198,2344.347113988502
135,272.28418183563497,111.18453382966047,2349.9472932982935
136,309.835249996032,140.31393750970042,2355.949474008312
137,302.70620092877897,133.76382473215486,2361.871030660006
138,295.62944207252315,127.32484712229845,2367.7067534361445
139,288.6063756398393,121.00350419686544,2373.450621336277
140,281.6385097017038,114.80710836654202,2379.095670022503
141,318.7458291610434,143.59056065590028,2385.1162695839707
142,311.584973892337,137.02357571954883,2391.05735065957
